abandonment,abandon
gracefulness,graceful
gracelessness,graceless
graciousness,gracious
gradational,gradation
grader,grade
graduality,gradual
gradualness,gradual
grafting,graft
graining,grain
grainy,grain
grandness,grand
grandstander,grandstand
grantee,grant
granter,grant
grantor,grant
granularity,granular
granulomatous,granuloma
grapey,grape
graphical,graph
grappler,grapple
grasping,grasp
grassy,grass
gratefulness,grateful
grater,grate
gravelly,gravel
graveness,grave
gravidity,gravid
gravidness,gravid
gravitational,gravitation
grayness,gray
greatness,great
greedy,greed
green-blindness,green-blind
greenery,green
greening,green
greenishness,greenish
greenness,green
greeter,greet
greeting,greet
gregariousness,gregarious
greyness,grey
griever,grieve
grilling,grill
grimness,grim
grinder,grind
grinding,grind
grinner,grin
grinning,grin
gritty,grit
groaner,groan
grooming,groom
groover,groove
grossness,gross
grotesqueness,grotesque
grouchy,grouch
grounder,ground
grounding,ground
grouping,group
groveler,grovel
groveller,grovel
grower,grow
growing,grow
growler,growl
growling,growl
growth,grow
grubby,grub
gruesomeness,gruesome
gruffness,gruff
grumbler,grumble
grumpy,grump
grunter,grunt
guardianship,guardian
Guatemalan,Guatemala
guesser,guess
guessing,guess
guiltlessness,guiltless
guilty,guilt
Guinean,Guinea
guitarist,guitar
gulper,gulp
gulping,gulp
gumming,gum
gummy,gum
gunner,gun
gusher,gush
gushy,gush
gusty,gust
gutlessness,gutless
gutsy,guts
gutter,gut
gymnastics,gymnastic
gymnospermous,gymnosperm
gynandromorphous,gynandromorph
habitableness,habitable
habitual,habit
habituate,habit
hacker,hack
haggler,haggle
hairlessness,hairless
hairy,hair
Haitian,Haiti
haleness,hale
hallucinogenic,hallucinogen
hammering,hammer
hamming,ham
hammy,ham
handedness,handed
Handelian,Handel
handicapper,handicap
handler,handle
handsomeness,handsome
hanger,hang
hanging,hang
hankering,hanker
Hanoverian,Hanover
haphazardness,haphazard
happening,happen
haranguer,harangue
harasser,harass
harassment,harass
harborage,harbor
harbourage,harbour
hardening,harden
hardheartedness,hardhearted
hardness,hard
harmfulness,harmful
harmoniousness,harmonious
harmoniser,harmonise
harmonizer,harmonize
harper,harp
harpist,harp
harpooneer,harpoon
harpooner,harpoon
harpsichordist,harpsichord
harshness,harsh
harvester,harvest
harvesting,harvest
hatchery,hatch
hatching,hatch
hatefulness,hateful
hater,hate
hatter,hat
haulage,haul
hauler,haul
hauling,haul
Hawaiian,Hawaii
hawker,hawk
hawking,hawk
hawkishness,hawkish
hazardous,hazard
hazardousness,hazardous
header,head
heading,head
headliner,headline
headmastership,headmaster
headmistressship,headmistress
headship,head
heady,head
healer,heal
healing,heal
healthfulness,healthful
healthy,health
hearable,hear
hearer,hear
hearing,hear
heartlessness,heartless
heartsickness,heartsick
hearty,heart
heatable,heat
heater,heat
heating,heat
heaver,heave
heavyheartedness,heavyhearted
hebdomadal,hebdomad
hebdomadary,hebdomad
heckler,heckle
hedger,hedge
heedfulness,heedful
heedlessness,heedless
hefty,heft
Hegelian,Hegel
heinousness,heinous
helper,help
helpfulness,helpful
helping,help
helplessness,helpless
hemstitching,hemstitch
herbal,herb
herder,herd
hermitic,hermit
hermitical,hermit
heroical,hero
Hertzian,Hertz
hesitater,hesitate
heterogeneousness,heterogeneous
heterosexuality,heterosexual
hewer,hew
hexagonal,hexagon
hideousness,hideous
hieroglyphical,hieroglyph
high-handedness,high-handed
high-mindedness,high-minded
high-spiritedness,high-spirited
highjacker,highjack
highjacking,highjack
highland(a),highland
highlighter,highlight
highlighting,highlight
highness,high
hijacker,hijack
hijacking,hijack
hiker,hike
hilly,hill
hirer,hire
hirsuteness,hirsute
Hispaniolan,Hispaniola
hisser,hiss
hissing,hiss
historicalness,historical
histrionics,histrionic
hitchhiker,hitchhike
Hitlerian,Hitler
hitter,hit
hitting,hit
hoarder,hoard
hoarseness,hoarse
hoaxer,hoax
hobbler,hobble
hobbyist,hobby
hoggishness,hoggish
hoister,hoist
holder,hold
holding,hold
holey,hole
Hollander,Holland
hollering,holler
hollowness,hollow
homelessness,homeless
homely,home
homeothermic,homeotherm
Homeric,Homer
homesickness,homesick
homespun(p),homespun
homesteader,homestead
homey,home
homoeroticism,homoerotic
homogeneousness,homogeneous
homoiothermic,homoiotherm
homosexuality,homosexual
homothermic,homotherm
honestness,honest
honeymooner,honeymoon
honker,honk
honorable,honor
honorableness,honorable
honorary,honor
honoree,honor
honoring,honor
honourableness,honourable
hoofer,hoof
hooker,hook
hooking,hook
hooter,hoot
hopefulness,hopeful
hopelessness,hopeless
hoper,hope
hopper,hop
horizontality,horizontal
horny,horn
horridness,horrid
horsemanship,horseman
horsewhipping,horsewhip
hospitableness,hospitable
hospitalize,hospital
hotness,hot
hourly,hour
housecleaning,houseclean
householder,household
housekeeper,housekeep
housekeeping,housekeep
housewifely,housewife
howler,howl
howling,howl
huddler,huddle
huffing,huff
huffishness,huffish
huffy,huff
hugger,hug
hugging,hug
hulky,hulk
humaneness,humane
humanitarianism,humanitarian
humanity,human
humanness,human
humbleness,humble
humidity,humid
humidness,humid
hummer,hum
humming,hum
humoral,humor
humoring,humor
humorist,humor
humorous,humor
humorousness,humorous
humourist,humour
humourous,humour
hunter,hunt
hunting,hunt
hurdler,hurdle
hurler,hurl
hurriedness,hurried
hurrying,hurry
hurting,hurt
husbandly,husband
husking,husk
hustler,hustle
Huxleyan,Huxley
hyaloplasmic,hyaloplasm
hybridize,hybrid
hydraulics,hydraulic
hydrodynamics,hydrodynamic
hydroelectricity,hydroelectric
hydrogenate,hydrogen
hydrokinetics,hydrokinetic
hydrophobicity,hydrophobic
hydroponics,hydroponic
hydrostatics,hydrostatic
hymenal,hymen
hyperboloidal,hyperboloid
hyphenate,hyphen
hypnotiser,hypnotise
hypnotizer,hypnotize
hypochondriacal,hypochondria
hypotonicity,hypotonic
Iberian,Iberia
Ibsenian,Ibsen
Icelander,Iceland
ichorous,ichor
iconic,icon
ideal,idea
idealise,ideal
ideality,ideal
idealize,ideal
ideate,idea
ideational,ideation
identicalness,identical
idiomatic,idiom
idiomatical,idiom
idiotic,idiot
idleness,idle
idler,idle
idolise,idol
idolize,idol
idolizer,idolize
idyllic,idyll
igniter,ignite
ignobleness,ignoble
ignominiousness,ignominious
ignorantness,ignorant
ill-treatment,ill-treat
illegality,illegal
illiberality,illiberal
illicitness,illicit
illness,ill
illogicality,illogical
illogicalness,illogical
illusional,illusion
illusionary,illusion
illusionist,illusion
illustriousness,illustrious
imagery,image
imaginativeness,imaginative
imbiber,imbibe
immaculateness,immaculate
immateriality,immaterial
immatureness,immature
immediateness,immediate
immenseness,immense
immoderateness,immoderate
immorality,immoral
immortality,immortal
immovableness,immovable
immunogenicity,immunogenic
immurement,immure
immutableness,immutable
impaction,impact
impairer,impair
impairment,impair
impalement,impale
impartation,impart
impartiality,impartial
imparting,impart
impassiveness,impassive
impeachment,impeach
impecuniousness,impecunious
impellent,impel
impeller,impel
impendence,impend
impendency,impend
impenetrableness,impenetrable
imperativeness,imperative
imperfectness,imperfect
imperiousness,imperious
impermeableness,impermeable
imperturbableness,imperturbable
imperviousness,impervious
impetuousness,impetuous
impingement,impinge
impiousness,impious
impishness,impish
implantation,implant
implausibleness,implausible
implemental,implement
implementation,implement
implicational,implication
implicitness,implicit
impoliteness,impolite
importation,import
importee,import
importer,import
importing,import
impossibleness,impossible
impounding,impound
impoundment,impound
impoverishment,impoverish
impracticableness,impracticable
impracticality,impractical
impreciseness,imprecise
impressible,impress
impression,impress
impressionistic,impression
impressive,impress
impressiveness,impressive
impressment,impress
imprinting,imprint
imprisonment,imprison
improbableness,improbable
improperness,improper
improvement,improve
improver,improve
impulsiveness,impulsive
impureness,impure
inactiveness,inactive
inadequateness,inadequate
inanimateness,inanimate
inappositeness,inapposite
inappropriateness,inappropriate
inaptness,inapt
inattentiveness,inattentive
inaudibleness,inaudible
inauspiciousness,inauspicious
incandescence,incandesce
incapableness,incapable
incasement,incase
incautiousness,incautious
incessantness,incessant
incestuous,incest
incisiveness,incisive
incitement,incite
inciter,incite
inclementness,inclement
incommodiousness,incommodious
incompleteness,incomplete
inconceivableness,inconceivable
inconclusiveness,inconclusive
incongruousness,incongruous
inconsiderateness,inconsiderate
inconspicuousness,inconspicuous
incontrovertibleness,incontrovertible
incorporeality,incorporeal
incorrectness,incorrect
incorruptness,incorrupt
incredibleness,incredible
incremental,increment
incrustation,incrust
inculpableness,inculpable
incurableness,incurable
incurrence,incur
incurring,incur
incursion,incur
indecisiveness,indecisive
indecorousness,indecorous
indefatigableness,indefatigable
indefiniteness,indefinite
indentation,indent
indenture,indent
indeterminateness,indeterminate
indexation,index
indexer,index
indexical,index
indexing,index
Indian,India
indictment,indict
indigenousness,indigenous
indigestibleness,indigestible
indirectness,indirect
indiscreetness,indiscreet
indispensableness,indispensable
indistinctness,indistinct
individuality,individual
individualize,individual
Indonesian,Indonesia
indorsement,indorse
indorser,indorse
inducement,induce
inducer,induce
inductee,induct
induction,induct
indulgence,indulge
industriousness,industrious
indweller,indwell
ineffectiveness,ineffective
ineffectuality,ineffectual
ineffectualness,ineffectual
inefficaciousness,inefficacious
inelasticity,inelastic
ineptness,inept
inertness,inert
inessentiality,inessential
inevitableness,inevitable
inexactness,inexact
inexorableness,inexorable
inexpensiveness,inexpensive
inexplicitness,inexplicit
infection,infect
infective,infect
inference,infer
inferiority,inferior
infestation,infest
infielder,infield
infiniteness,infinite
infirmity,infirm
inflater,inflate
inflationary,inflation
inflection,inflect
inflectional,inflection
inflexibleness,inflexible
infliction,inflict
informality,informal
informant,inform
information,inform
informative,inform
informatory,inform
informer,inform
informing,inform
infraction,infract
infringement,infringe
ingeniousness,ingenious
ingenuousness,ingenuous
ingestion,ingest
inhabitancy,inhabit
inhabitant,inhabit
inhabitation,inhabit
inharmoniousness,inharmonious
inherence,inhere
inherent,inhere
inheritance,inherit
inheritor,inherit
inhibition,inhibit
inhibitor,inhibit
inhibitory,inhibit
inhospitableness,inhospitable
inhumaneness,inhumane
inhumanity,inhuman
injectable,inject
injectant,inject
injection,inject
injector,inject
injudiciousness,injudicious
injuriousness,injurious
inky,ink
innateness,innate
innovational,innovation
innovativeness,innovative
innumerableness,innumerable
inopportuneness,inopportune
inordinateness,inordinate
inquirer,inquire
inquisitiveness,inquisitive
inquisitorial,inquisitor
insalubriousness,insalubrious
insaneness,insane
insectan,insect
insecureness,insecure
insensitiveness,insensitive
insertion,insert
insidiousness,insidious
insightfulness,insightful
insipidity,insipid
insipidness,insipid
insistence,insist
insisting,insist
inspection,inspect
inspector,inspect
inspectorship,inspector
inspirational,inspiration
inspirer,inspire
installation,install
installing,instal
installment,install
instalment,instal
instantaneous,instant
instantaneousness,instantaneous
instillation,instill
instillator,instill
instilling,instill
instillment,instill
instilment,instil
institutional,institution
institutionalise,institution
institutionalize,institution
instruction,instruct
instructional,instruction
instructive,instruct
instructor,instruct
instructorship,instructor
instrumental,instrument
instrumentalist,instrument
instrumentality,instrumental
instrumentate,instrument
instrumentation,instrument
insubstantiality,insubstantial
insularity,insular
insurer,insure
insurrectional,insurrection
insurrectionary,insurrection
insurrectionist,insurrection
intactness,intact
intangibleness,intangible
integrality,integral
integumental,integument
integumentary,integument
intellectual,intellect
intemperateness,intemperate
intensional,intension
intensiveness,intensive
intentional,intention
intentionality,intentional
intentness,intent
interaction,interact
interactional,interaction
interactive,interact
interbreeding,interbreed
interception,intercept
interceptor,intercept
interchangeableness,interchangeable
interconnectedness,interconnected
interconnection,interconnect
interdependence,interdepend
interdependency,interdepend
interdependent,interdepend
interdiction,interdict
interestedness,interested
interestingness,interesting
interference,interfere
interiorize,interior
interjection,interject
interlocking,interlock
interloper,interlope
interment,inter
intermixture,intermix
internationality,international
internee,intern
internist,intern
internment,intern
internship,intern
interpretation,interpret
interpretative,interpret
interpreter,interpret
interpreting,interpret
interpretive,interpret
interrelatedness,interrelated
interrelationship,interrelation
interrupter,interrupt
interruption,interrupt
intersectant,intersect
intersection,intersect
interviewee,interview
interviewer,interview
intimal,intima
intractableness,intractable
intransitiveness,intransitive
intrepidity,intrepid
introjection,introject
introspection,introspect
introspective,introspect
introspectiveness,introspective
introvertive,introvert
intruder,intrude
intrusiveness,intrusive
intuition,intuit
intuitive,intuit
intumescence,intumesce
intumescency,intumesce
intussusception,intussuscept
inunction,inunct
invader,invade
invalidity,invalid
invalidness,invalid
invaluableness,invaluable
invariableness,invariable
invention,invent
inventive,invent
inventiveness,inventive
inventor,invent
inventorying,inventory
inverter,invert
investing,invest
investiture,invest
investment,invest
investor,invest
invisibleness,invisible
invitational,invitation
invitee,invite
involvement,involve
inwardness,inward
ionate,ion
ionic,ion
ionise,ion
ionize,ion
Iranian,Iran
Irelander,Ireland
iridescence,iridesce
iridescent,iridesce
ironing,iron
irrationality,irrational
irregularity,irregular
irreligionist,irreligion
irreligiousness,irreligious
irreplaceableness,irreplaceable
irresistibleness,irresistible
irresoluteness,irresolute
irresponsibleness,irresponsible
irruption,irrupt
Islamic,Islam
Islamist,Islam
islander,island
islet,isle
isogonic,isogon
isomeric,isomer
isothermal,isotherm
issuer,issue
italicise,italic
italicize,italic
itching,itch
itchy,itch
itemise,item
itemize,item
jabberer,jabber
jabbering,jabber
jabbing,jab
Jacksonian,Jackson
Jacobinic,Jacobin
Jacobinical,Jacobin
jaggedness,jagged
jaggy,jag
jailer,jail
jailor,jail
Jamaican,Jamaica
jamming,jam
Javan,Java
jaywalker,jaywalk
jazzy,jazz
jeerer,jeer
jeering,jeer
Jeffersonian,Jefferson
jejuneness,jejune
jerker,jerk
jerking,jerk
jerky,jerk
jester,jest
Jesuitic,Jesuit
Jesuitical,Jesuit
jeweler,jewel
jeweller,jewel
jewellery,jewel
jewelry,jewel
jittery,jitter
jocoseness,jocose
jocularity,jocular
jocundity,jocund
jogger,jog
jogging,jog
joiner,join
joining,join
jointer,joint
jointure,join
joker,joke
jokester,joke
jolty,jolt
Jordanian,Jordan
jotter,jot
jotting,jot
journeyer,journey
journeying,journey
joviality,jovial
jowly,jowl
joyfulness,joyful
joylessness,joyless
joyous,joy
joyousness,joyous
judgeship,judge
judgmental,judgment
judiciousness,judicious
juggler,juggle
jugglery,juggle
jumentous,jument
jumping,jump
jumpy,jump
Jungian,Jung
junketing,junket
jurisdictional,jurisdiction
justness,just
jutting,jut
Kampuchean,Kampuchea
Kantian,Kant
Kechuan,Kechua
keenness,keen
keeper,keep
keeping,keep
Kenyan,Kenya
Keynesian,Keynes
kibitzer,kibitz
kicker,kick
kicking,kick
kidnaper,kidnap
kidnapper,kidnap
kidnapping,kidnap
killable,kill
killer,kill
killing,kill
kin(p),kin
kindheartedness,kindhearted
kindness,kind
kingdom,king
kingly,king
kingship,king
kinky,kink
kinship,kin
kisser,kiss
kissing,kiss
kneeler,kneel
kneeling,kneel
knightly,knight
knitter,knit
knitting,knit
knobby,knob
knocker,knock
knocking,knock
knotty,knot
knowable,know
knower,know
knowing,know
knowingness,knowing
knowledgeableness,knowledgeable
kooky,kook
Koranic,Koran
Korean,Korea
laborer,labor
laborious,labor
laboriousness,laborious
labourer,labour
labyrinthian,labyrinth
lacer,lace
ladylikeness,ladylike
laggard,lag
lagger,lag
lagging,lag
Lamarckian,Lamarck
lameness,lame
lamentable,lament
lamentation,lament
lamenter,lament
laminal,lamina
laminar,lamina
laminate,lamina
lampooner,lampoon
lander,land
landing,land
landlubberly,landlubber
languisher,languish
languorous,languor
Lapplander,Lappland
Laputan,Laputa
largeness,large
larval,larva
lasciviousness,lascivious
lastingness,lasting
lateness,late
lathery,lather
Latinist,Latin
Latvian,Latvia
laudable,laud
laudatory,laud
lauder,laud
laughable,laugh
laugher,laugh
launcher,launch
lavishness,lavish
lawfulness,lawful
lawlessness,lawless
lawyer,law
laxity,lax
laxness,lax
layer,lay
leader,lead
leadership,leader
leafage,leaf
leaflet,leaf
leafy,leaf
leakage,leak
leaker,leak
leaky,leak
leaner,lean
leanness,lean
leaper,leap
learnedness,learned
learner,learn
leathery,leather
leaver,leave
lecherous,lecher
lecherousness,lecherous
lecturer,lecture
lectureship,lecture
leery,leer
left-handedness,left-handed
legality,legal
legateship,legate
legendary,legend
leggy,leg
legislatorship,legislator
Leibnitzian,Leibnitz
Leibnizian,Leibniz
leisurely,leisure
lemony,lemon
lendable,lend
lender,lend
lengthy,length
lethality,lethal
letter,let
letterer,letter
leveler,level
leveller,level
leverage,lever
lewdness,lewd
lexicostatistics,lexicostatistic
libeler,libel
libellous,libel
libelous,libel
liberality,liberal
liberalness,liberal
Liberian,Liberia
librarianship,librarian
Libyan,Libya
licensee,license
licenser,license
licentiousness,licentious
licitness,licit
Liechtensteiner,Liechtenstein
lienal,lien
lifelessness,lifeless
lifer,life
lifter,lift
light-mindedness,light-minded
lighter,light
lighterage,lighter
lightheadedness,lightheaded
lightheartedness,lighthearted
lightlessness,lightless
lightness,light
lightsomeness,lightsome
likeable,like
likeness,like
Lilliputian,Lilliput
limitation,limit
limiter,limit
limitlessness,limitless
limner,limn
limper,limp
limpidity,limpid
limpness,limp
Lincolnian,Lincoln
lineal,line
linearity,linear
lineation,line
liner,line
lingerer,linger
lingual,lingua
linguistic,linguist
linguistics,linguist
linkage,link
lionize,lion
lipreading,lipread
liquidity,liquid
liquidizer,liquidize
liquidness,liquid
lisper,lisp
lissomeness,lissome
listener,listen
listening,listen
lister,list
listing,list
listlessness,listless
literalness,literal
litheness,lithe
lithographer,lithograph
Lithuanian,Lithuania
litigiousness,litigious
litterer,litter
littleness,little
liveable,live
liveness,live
liver,live
livery,liver
lividity,livid
lividness,livid
loader,load
loading,load
loafer,loaf
loamy,loam
loather,loathe
loathsomeness,loathsome
lobbyist,lobby
lobularity,lobular
locality,local
locater,locate
lockage,lock
locker,lock
lodgement,lodge
lodger,lodge
logarithmic,logarithm
logger,log
logging,log
logicality,logical
logicalness,logical
logician,logic
logistics,logistic
logogrammatic,logogram
logrolling,logroll
loiterer,loiter
Londoner,London
long-windedness,long-winded
longer,long
longing,long
longness,long
longsightedness,longsighted
looker,look
loony,loon
loopy,loop
looseness,loose
loosening,loosen
looter,loot
looting,loot
lopper,lop
lopsidedness,lopsided
loquaciousness,loquacious
lordship,lord
Lordship,Lord
loser,lose
lossy,loss
loudness,loud
lounger,lounge
loveable,love
lover,love
lovesickness,lovesick
lovingness,loving
low-spiritedness,low-spirited
lowering,lower
lowness,low
lubberly,lubber
lucidity,lucid
lucky,luck
luggage,lug
lugubriousness,lugubrious
lukewarmness,lukewarm
luminescence,luminesce
luminescent,luminesce
luminousness,luminous
lumper,lump
lumpy,lump
luncher,lunch
lunching,lunch
lunger,lunge
luridness,lurid
lurker,lurk
lushness,lush
Lusitanian,Lusitania
lusterlessness,lusterless
lustfulness,lustful
lustrelessness,lustreless
lusty,lust
lutenist,lute
Luxembourger,Luxembourg
Luxembourgian,Luxembourg
Luxemburger,Luxemburg
luxuriousness,luxurious
lymphatic,lymph
lynching,lynch
lyricality,lyrical
lyricist,lyric
lysogenicity,lysogenic
macadamize,macadam
Macedonian,Macedonia
Machiavellian,Machiavelli
machinery,machine
macrobiotics,macrobiotic
macrocosmic,macrocosm
macroeconomics,macroeconomic
maculate,macula
madness,mad
madrigalist,madrigal
maggoty,maggot
magical,magic
magician,magic
magnanimousness,magnanimous
magnetic,magnet
magnetise,magnet
magnetize,magnet
Mahdism,Mahdi
Mahdist,Mahdi
maidenhood,maiden
maidenly,maiden
maidhood,maid
mailer,mail
mailing,mail
maimer,maim
Mainer,Maine
maintainable,maintain
maintainer,maintain
majority,major
maker,make
maladroitness,maladroit
malarial,malaria
Malawian,Malawi
Malaysian,Malaysia
malediction,maledict
maleness,male
Malian,Mali
maliciousness,malicious
maligner,malign
malignity,malign
malignment,malign
malingerer,malinger
malingering,malinger
malnourishment,malnourish
malodorousness,malodorous
Malthusian,Malthus
maltreater,maltreat
maltreatment,maltreat
maltster,malt
mammary,mamma
manageable,manage
manageableness,manageable
management,manage
manager,manage
managerial,manager
managership,manager
Manchurian,Manchuria
maneuverable,maneuver
maneuverer,maneuver
manfulness,manful
mangey,mange
mangler,mangle
maniac(p),maniac
maniacal,maniac
manifestation,manifest
manly,man
mannerly,manner
manorial,manor
manufacturer,manufacture
manumitter,manumit
mapper,map
mapping,map
marathoner,marathon
marauder,maraud
marbleize,marble
marcher,march
marching,march
marginal,margin
marginality,marginal
marker,mark
marketable,market
marketer,market
marketing,market
marking,mark
Markovian,Markov
marksmanship,marksman
marly,marl
marshalship,marshal
marshy,marsh
martyrdom,martyr
martyrize,martyr
marveller,marvel
marvellous,marvel
marvelous,marvel
masher,mash
masker,mask
masking,mask
masonic,mason
Masonic,Mason
masquerader,masquerade
massager,massage
massiveness,massive
mastering,master
masterly,master
mastership,master
mastery,master
matcher,match
materiality,material
matey,mate
matronly,matron
matting,mat
maturational,maturation
maturement,mature
matureness,mature
mauler,maul
Mauritanian,Mauritania
mawkishness,mawkish
maxillary,maxilla
mayoral,mayor
meagerness,meager
meagreness,meagre
mealy,meal
mean(a),mean
meaning,mean
meaningfulness,meaningful
meaninglessness,meaningless
meanness,mean
measurement,measure
measurer,measure
meaty,meat
medalist,medal
medallist,medal
meddler,meddle
meddlesomeness,meddlesome
median(a),median
mediateness,mediate
meditativeness,meditative
medullary,medulla
meekness,meek
meeter,meet
meeting,meet
megalithic,megalith
megaloblastic,megaloblast
megalomaniacal,megalomania
mellowing,mellow
mellowness,mellow
melodiousness,melodious
melodramatic,melodrama
meltable,melt
melter,melt
melting,melt
membership,member
memorialize,memorial
memoriser,memorise
memorizer,memorize
Mendelian,Mendel
mender,mend
mending,mend
mentality,mental
mentioner,mention
mercenary(a),mercenary
merchandiser,merchandise
mercifulness,merciful
mercilessness,merciless
meretriciousness,meretricious
merger,merge
meritable,merit
meritorious,merit
meritoriousness,meritorious
meshing,mesh
Mesoamerican,Mesoamerica
mesoblastic,mesoblast
mesodermal,mesoderm
mesomorphic,mesomorph
mesonic,meson
messiahship,messiah
messy,mess
metallic,metal
metaphoric,metaphor
metaphorical,metaphor
meteoric,meteor
methodical,method
methodicalness,methodical
meticulousness,meticulous
metonymic,metonym
metonymical,metonym
mettlesomeness,mettlesome
miasmal,miasma
micaceous,mica
microelectronics,microelectronic
midweekly,midweek
mighty,might
migrational,migration
mildness,mild
miler,mile
milky,milk
milling,mill
mimer,mime
mimicker,mimic
mincer,mince
mindfulness,mindful
mindlessness,mindless
miner,mine
ministerial,minister
minority,minor
mintage,mint
minter,mint
minuteness,minute
mirthfulness,mirthful
misalignment,misalign
misbeliever,misbelieve
mischievousness,mischievous
misdirection,misdirect
miserableness,miserable
miserly,miser
misgovernment,misgovern
misinformation,misinform
misinterpretation,misinterpret
misleader,mislead
mismanagement,mismanage
misogynistic,misogynist
misplacement,misplace
misreading,misread
misrepresentation,misrepresent
misshapenness,misshapen
missioner,mission
misspelling,misspell
misstatement,misstate
mistreatment,mistreat
misty,mist
misunderstanding,misunderstand
mixable,mix
mixer,mix
mixing,mix
mixture,mix
moaner,moan
mobster,mob
mocker,mock
mockery,mock
modality,modal
modeler,model
modeling,model
modeller,model
modelling,model
moderateness,moderate
moderationist,moderation
moderatorship,moderator
modernity,modern
modernness,modern
modestness,modest
modishness,modish
moistener,moisten
moistening,moisten
moistness,moist
molality,molal
molarity,molar
moldable,mold
molding,mold
Moldovan,Moldova
moldy,mold
molestation,molest
mollycoddler,mollycoddle
molter,molt
molting,molt
momentaneous,moment
momentary,moment
momentous,moment
momentousness,momentous
monarchal,monarch
monarchic,monarch
monarchical,monarch
moneyer,money
moneymaking(a),moneymaking
Mongolian,Mongolia
mongrelize,mongrel
monitoring,monitor
monocotyledonous,monocotyledon
monogamousness,monogamous
monomaniacal,monomania
monopoliser,monopolise
monopolizer,monopolize
monthly,month
Montserratian,Montserrat
monumental,monument
moocher,mooch
moody,mood
moonlighter,moonlight
moonshiner,moonshine
moorage,moor
mooring,moor
mopper,mop
mopping,mop
morality,moral
morbidity,morbid
morbidness,morbid
moronic,moron
moroseness,morose
mortality,mortal
mortgagee,mortgage
mortgager,mortgage
mossy,moss
motherhood,mother
motherly,mother
mothy,moth
motional,motion
motionlessness,motionless
motivational,motivation
motive(a),motive
motoring,motor
motorist,motor
motorize,motor
moulding,mould
mouldy,mould
moulter,moult
moulting,moult
mountaineer,mountain
mountaineering,mountaineer
mountainous,mountain
mounter,mount
mounting,mount
mourner,mourn
mournfulness,mournful
mourning,mourn
mousey,mouse
movableness,movable
moveable,move
movement,move
mover,move
mower,mow
Mozartean,Mozart
Mozartian,Mozart
mucinous,mucin
muckraker,muckrake
mucky,muck
mucosal,mucosa
muddy,mud
muffler,muffle
muggee,mug
mugger,mug
mugging,mug
muleteer,mule
mulishness,mulish
muller,mull
multifariousness,multifarious
multitudinousness,multitudinous
mumbler,mumble
muncher,munch
mundaneness,mundane
municipality,municipal
muralist,mural
murderer,murder
murderous,murder
murderousness,murderous
murky,murk
murmuration,murmur
murmurer,murmur
murmuring,murmur
murmurous,murmur
muscularity,muscular
muser,muse
musher,mush
mushy,mush
musical,music
musicality,musical
musicalness,musical
musician,music
musicianship,musician
musketeer,musket
musky,musk
mussy,muss
musty,must
mutableness,mutable
mutational,mutation
muteness,mute
mutterer,mutter
muttering,mutter
mutuality,mutual
mutualness,mutual
muzzler,muzzle
Mycenaean,Mycenae
myelinic,myelin
mystical,mystic
mysticism,mystic
mythic,myth
mythical,myth
mythologize,myth
nacreous,nacre
nagger,nag
nailer,nail
naiveness,naive
nakedness,naked
namelessness,nameless
namer,name
Namibian,Namibia
Napoleonic,Napoleon
nappy,nap
narrow-mindedness,narrow-minded
narrowing,narrow
narrowness,narrow
nasality,nasal
nationality,national
nativeness,native
naturalness,natural
Nauruan,Nauru
nauseate,nausea
nauseatingness,nauseating
navigational,navigation
Neanderthalian,Neanderthal
nearness,near
nearsightedness,nearsighted
neatness,neat
nebular,nebula
necker,neck
necking,neck
nectarous,nectar
needy,need
nefariousness,nefarious
negativeness,negative
neglecter,neglect
neglectfulness,neglectful
neighborhood,neighbor
neighborly,neighbor
neighbourhood,neighbour
neighbourly,neighbour
nervelessness,nerveless
nervousness,nervous
nester,nest
netting,net
neuroglial,neuroglia
neurolinguistics,neurolinguist
neuromatous,neuroma
neuronal,neuron
neuronic,neuron
neutering,neuter
neutrality,neutral
newness,new
newsy,news
Newtonian,Newton
nibbler,nibble
Nicaean,Nicaea
Nicaraguan,Nicaragua
niceness,nice
niffy,niff
Nigerian,Niger
niggardly,niggard
niggler,niggle
nightly,night
nimbleness,nimble
nipper,nip
nippy,nip
nitpicker,nitpick
nitrogenize,nitrogen
nitrogenous,nitrogen
noble-mindedness,noble-minded
noiselessness,noiseless
noisomeness,noisome
nonsensicality,nonsensical
normaliser,normalise
normality,normal
normalizer,normalize
northeasterly,northeaster
northerly,norther
northernness,northern
northwesterly,northwester
nosey,nose
nosher,nosh
noticeable,notice
noticeableness,noticeable
noticer,notice
notional,notion
nourishment,nourish
novelette,novel
novelist,novel
noxiousness,noxious
nubby,nub
nudeness,nude
nudger,nudge
nullity,null
numbering,number
numbness,numb
numerousness,numerous
Numidian,Numidia
nurser,nurse
nursery,nurse
nutritional,nutrition
nutritionary,nutrition
nutritionist,nutrition
nutritiousness,nutritious
nutritiveness,nutritive
nutty,nut
nymphomaniacal,nymphomania
oarsmanship,oarsman
objectify,object
objection,object
objectionableness,objectionable
objectiveness,objective
objector,object
oblateness,oblate
obliger,oblige
obligingness,obliging
obliqueness,oblique
obliviousness,oblivious
oblongness,oblong
obnoxiousness,obnoxious
obscureness,obscure
obsequiousness,obsequious
observer,observe
obsession,obsess
obsessional,obsession
obsessive,obsess
obsessiveness,obsessive
obsolescence,obsolesce
obsolescent,obsolesce
obsoleteness,obsolete
obstetrics,obstetric
